gdsc_name,cid
Camptothecin,24360.0
Vinblastine,13342.0
Cisplatin,5702198.0
Cytarabine,6253.0
Docetaxel,148124.0
Methotrexate,126941.0
Tretinoin,444795.0
Gefitinib,123631.0
Navitoclax,24978538.0
Vorinostat,5311.0
Nilotinib,644241.0
Refametinib,44182295.0
Temsirolimus,6918289.0
Olaparib,23725625.0
Veliparib,11960529.0
Bosutinib,5328940.0
Lenalidomide,216326.0
Axitinib,6450551.0
AZD7762,11152667.0
GW441756,73755109.0
Lestaurtinib,126565.0
SB216763,176158.0
Tanespimycin,6505803.0
Motesanib,11667893.0
KU-55933,5278396.0
Elesclomol,300471.0
Afatinib,10184653.0
Vismodegib,24776445.0
Staurosporine,44259.0
PLX-4720,24180719.0
BX795,10077147.0
NU7441,11327430.0
SL0101,10459196.0
Doramapimod,156422.0
JNK Inhibitor VIII,11624601.0
Wee1 Inhibitor,10384072.0
Nutlin-3a (-),11433190.0
Mirin,1206243.0
PD173074,1401.0
ZM447439,9914412.0
Alisertib,24771867.0
RO-3306,136240579.0
MK-2206,24964624.0
Palbociclib,5330286.0
Dactolisib,11977753.0
Pictilisib,17755052.0
AZD8055,25262965.0
PD0325901,9826528.0
SB590885,135564599.0
Selumetinib,10127622.0
CCT007093,2314623.0
Obatoclax Mesylate,16681698.0
EHT-1864,9938202.0
Avagacestat,46883536.0
5-Fluorouracil,3385.0
Dasatinib,3062316.0
Paclitaxel,36314.0
Crizotinib,11626560.0
Rapamycin,5284616.0
Sorafenib,216239.0
BI-2536,11364421.0
Irinotecan,60838.0
Oxaliplatin,9887053.0
BMS-536924,135440466.0
GSK1904529A,25124816.0
Tozasertib,5494449.0
PF-4708671,51371303.0
PRIMA-1MET,52918385.0
Serdemetan,11609586.0
TW 37,11455910.0
Erlotinib,176870.0
CCT-018159,984170.0
Rucaparib,9931954.0
Niraparib,24958200.0
MK-1775,24856436.0
Dinaciclib,46926350.0
Gemcitabine,60750.0
Bortezomib,387447.0
GSK269962A,16095342.0
SB505124,9858940.0
Tamoxifen,2733526.0
Fulvestrant,104741.0
EPZ004777,56962336.0
YK-4-279,44632017.0
Piperlongumine,637858.0
Daporinad,6914657.0
BMS-345541,9926054.0
AZ960,25099184.0
Talazoparib,135565082.0
XAV939,135418940.0
Trametinib,11707110.0
Dabrafenib,44462760.0
Temozolomide,5394.0
Bleomycin (50 uM),5360373.0
AZD5438,16747683.0
IAP_5620,
AZD2014,25262792.0
AZD1208,58423153.0
AZD1332,49831044.0
SN-38,104842.0
Bicalutamide,2375.0
Ruxolitinib,25126798.0
Linsitinib,11640390.0
Epirubicin,41867.0
Cyclophosphamide,2907.0
Pevonedistat,16720766.0
Sapitinib,11488320.0
Uprosertib,51042438.0
